archivo,dept,mun,zona,stand,mesa,texto_p1,ocr_ok,numeros_detectados,potencial_mesa,total_sufragantes,votos_cepeda,votos_claudia,votos_botero,votos_espriella,votos_lizcano,votos_uribe_l,votos_sondra,votos_barreras,votos_caicedo,votos_matamoros,votos_paloma,votos_fajardo,votos_murillo,suma_candidatos_detectados,candidatos_detectados,hubo_recuento
010.pdf,60,001,01,02,010,"— — — ENAUNO TUO N | 710093672010103 Ver: 01 Pag: 1 de 3 E P E ACTA DE ESCRUTINIO DE LOS m | -:-"".3—'-:5' T JURADOS DE VOTACIÓN | =l aJ Cr ELECCIÓN PRESIDENCIA Y AE i FL- FE VICEPRESIDENCIA DE LA REPÚBLICA A | E '*-l. e. . B MAYO 31 DE 2026 REGISTRADURIA E DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 02 MESA: 010 LUGAR: JORGE ELIECER GAITAN f X 5-15-14-12 X | NIVELACIÓN ",True,87,,1,2,,,,,,,,3,,,,1,6,3,S
011.pdf,60,001,01,02,011,"— ONMENI INAUN — 710093682010103 Ver: 01 Pag: 1 de 3 — [m]S:u+tfm] - ACTADEESCRUTINO D LOS m i E I1 E — '€"".—|'- =T JURADOS DE YOTACIÓN | TE ELECCIÓN PRESIDENCIA Y AN _ 3.' "". VICEPRESIDENCIA DE LA REPUBLICA —  E n y MAYO 31 DE 2026 REGISTRADURÍA  DEPARTAMENTO: 60 - AMAZONAS  MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 02 MESA: 011 | LUGAR: JORGE ELIECER GAITAN | X 3-91-28-16 X NIVELACIÓN DE LA ME",True,91,16,6,3,3,,,,,,5,1,11,12,113,6,154,8,S
012.pdf,60,001,01,02,012,"- — AMOMNANOTT TNAENO — 710093692010103 Ver: 01 Pag: 1 de 3 E = E ACTA DE ESCRUTINIO DE LOS m — a ades: — JURADOSDEVOTACIÓN | . = =1 DELEGADOS | — ELECCIÓN PRESIDENCIA Y ¡ .F"" s VICEPRESIDENCIA DE LA REPÚBLICA — | E . I-|I. - MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 02 MESA: 012 | LUGAR: JORGE ELIECER GANTAN | X 3-37-45-17 X ? NIVELA",True,82,,4,4,,7,5,5,,,,10,,12,,,43,6,S
013.pdf,60,001,01,02,013,"— CQO EO DOOOOOO N | 710093702010103 Ver: 01 Pag: 1 de 3 | E|""' - E ACTA DE ESCRUTINIO DE LOS m — aoba ea — JURADOSDEVOTACIÓN | e a p ELECCIÓN PRESIDENCIA Y ' rl a7 C VICEPRESIDENCIA DE LA REPÚBLICA — i E """"A "" MAYO 31 DE 2076 WL%% | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 02 MESA: 013 | LUGAR: JORGE ELIECER GAITAN | X 3-48-11-16 X : NIVELACIÓN DE LA MESA 156 156 ",True,90,156,56,,,63,24,9,,0,7,9,2,4,113,5,236,10,S
014.pdf,60,001,01,02,014,"| — CAAO e E OCEOOO - [ 710093712010103 Ver: 01 Pag: 1 de 3 | E._ a . E ACTA DE ESCRUTINIO DE LOS m | y + :_-. r JURADOS DE VOTACIÓN — — !"":¡-' = ELECCIÓN PRESIDENCIA Y | LE""'- = VICEPRESIDENCIA DE LA REPUBLICA o . | E - N MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA; 01 PUESTO: 02 MESA: 014 | LUGAR: JORGE ELIECER GAITAN X 8-35-98-16 X NIVELACIÓN DE L",True,90,,9,7,3,4,,6,,1,,3,,12,113,,149,8,S
015.pdf,60,001,01,02,015,"— — OMONRIODIEMIN TNAN — 710093722010103 Ver: 01 Pag: 1 de 3 — [a] () ACTA DE ESCRUTINIO DE LOS m  — A ; JURADOS DE VOTACIÓN  ! - l "" ELECCIÓN PRE3IDENCIA¡Y A — l  | a E VICEPRESIDENCIA DE LA REPÚBLICA ¡ ""-  | E '¡'I¡' . MAYO 31 DE 2026 REGISTRADURIA DEPARTAMENTO: 60 - AMAZONAS  MUNICIPIO: 001 - LETICIA  — | ZONA:01 PUESTO: 02 MESA: 015  - LUGAR: JORGE ELIECER GAITAN  | X 7-3606-34-15 X  | NIVELAC",True,80,,372,2,,54,,,,,,,11,12,113,,192,5,S
016.pdf,60,001,01,02,016,"— CU EO DOO - 710093732010103 Ver: 01 Pag: 1 de 3 — fl [m] — ACTADE ESCRUTINIO DE LOS m — ""1a — JURADOS DE VOTACIÓN | , "" U — ""'ih' ELECCIÓN PRESIDENCIA Y | F El VICEPRESIDENCIA DE LA REPÚBLICA — | E A MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 02 MESA: 016 g LUGAR: JORGE ELIECER GAITAN | X 7-33-47-19 X NIVELACIÓN DE LA MESA i . 65 ' 63 ",True,76,65,3,4207,3,,1,9,,,,,,12,113,3,4348,7,S
001.pdf,60,001,01,03,001,"M| |111111 . l 710093742010103 Ver: 01 Pag: 1 de 3 — [mrer [m] ACTA DE ESCRUTINIO DE LOS m | :¿-I:.-"":_$' o JURADOS DE VOTACIÓN — Y ELECCIÓN PRESIDENCIA Y ¡ _ !¡L =FT VICEPRESIDENCIA DE LA REPUBLICA — — [l a MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS € MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 03 MESA: 001 | LUGAR: IE FRANCISCO DEL ROSARIO VELA | X 2-20-04-15 X | NIVELACIÓN DE ",True,83,27,9374,7,,,,,,,,10,,112,13,0,142,5,S
002.pdf,60,001,01,03,002,"| — OO VUMATTOOTY - | 710093752010103 Ver: 01 Pag: 1 de 3 — [m]94.[m] - ACTADEESCRUTINIODE LOS m — m n — JURADOSDEVOTACIÓ TNE ELECCIÓN PRESIDENCIA Y l lB VICEPRESIDENCIA DE LA REPÚBLICA [< E 7y ""LENO.+ MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 03 MESA: 002 LUGAR: IE FRANCISCO DEL ROSARIO VELA | X 6-90-10-19 X ' NIVELACIÓN DE LA MESA º 131",True,76,131,375,3,6,,,,,,,31,,,,4,44,4,S
003.pdf,60,001,01,03,003,"— CNOOO DDO - E ! E ACTA DE ESCRUTINIO DE LOS m — JURADOS DE VOTACIÓN | ""E U m ELECCIÓN PRESIDENCIA Y | KPUE- B VICEPRESIDENCIA DE LA REPÚBLICA — - ¿ E . - MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 03 MESA: 003 | LUGAR: lE FRANCISCO DEL ROSARIO VELA X 5-63-05-13 X | NIVELACIÓN DE LA MESA º - 85 a 35 | CANDIDATO AGRUPACIÓN VOTACIÓN i H",True,77,85,5,2,,14,15,15,,,9,,,12,113,5,185,8,S
001.pdf,60,001,02,01,001,"— — 710093772010103 Ver: 0* Pag: 1 de 3 | E + E ACTA DE ESCRUTINIO DE LOS m — TEEme M - JURADOSDEVOTACIÓN T .""¿.""l rr ELECCIÓN PRESIDENCIA Y  | AE TN  VICEPRESIDENCIA DE LA REPÚBLICA | E Ib. C '| MAYO 31 DE 2026 uulsLuu££m… ' | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 001 | LUGAR: IE MARCELIANO E. CANYES | X 3-11-03-15 X ; NIVELACIÓN DE LA MESA 213 213 ; f",True,76,213,2,185,3,,,,,,,5,,112,13,2,320,6,S
002.pdf,60,001,02,01,002,"— — — NO MIRADAIO - | 710093782010103 Ver: 01 Pag: 1 de 3 | E : . ; E ACTA DE ESCRUTINIO DE LOS m — enl - p JURADOS DE VOTACIÓ __ |b'?¡$'¡ . ELECCIÓN PRESIDENCIA Y º =F ed  VICEPRESIDENCIA DE LA REPUBLICA — E -Il|""1-""- . MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 01 MESA: 002 LUGAR: IE MARCELIANO E. CANYES | | X 2-57-10-14 X ' NIVELACIÓ",True,87,185,8,4770,5,,2,5,,,,5,,12,13,7,4819,8,S
003.pdf,60,001,02,01,003,"— OOOE DNA - | 710093792010103 Ver: 01 Pag: 1 de 3 | E "" E ACTA DE ESCRUTINIO DE LOS m — -' JURADOS DE VOTACIÓN ! . o | - Y "" ELECCIÓN PRESIDENCIA Y | . ») VICEPRESIDENCIA DE LA REPÚBLICA = - | E del a MAYO31DE 2026 — REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 003 | LUGAR: IE MARCELIANO E. CANYES | X 6-04-90-13 X [ ' NIVELACIÓN DE LA MESA º 2",True,88,2171,2,,,,5,,,,,,,,,,5,1,N
004.pdf,60,001,02,01,004,— — O BIENINTENNAONTA — | 710093802010103 Ver: 01 Pag: 1 de 3 | E EH: l E ACTA DE ESCRUTINIO DE LOS m | E - JURADOS DE VOTACIÓN | — -Fr£1h|- ELECCIÓN PRESIDENCIA Y | E ]: 68 VICEPRESIDENCIA DE LA REPÚBLICA EA | E ce k MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 004 | LUGAR: IE MARCELIANO E. CANYES í X 4-19-06-10 X | NIVELACIÓN DE,True,85,72226,2,1073,,,,,,,9,1,,12,,2,1097,5,S
005.pdf,60,001,02,01,005,"— — OMENIENUNA DTTO — | 710093812010103 Ver: 01 Pag: 1 de 3 E rr = E ACTA DE ESCRUTINIO DE LOS m a ¡.¿I."" * T JURADOS DE VOTACIÓN * L lo N ELECCIÓN PRESIDENCIA Y | . fEn = VICEPRESIDENCIA DE LA REPUBLICA — E ra -N MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS ; MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 005 ' LUGAR: IE MARCELIANO E. CANYES X 8-53-74-15 X | NIVELACIÓN DE LA ",True,82,202,9,2,,,,,,,9,,,,,,11,2,S
006.pdf,60,001,02,01,006,"— QUN VCOO a 710093822010103 Ver: 01 Pag: 1 de 3 | E M T E ACTA DE ESCRUTINIO DE LOS m | , -'13_… . JURADOS DE VOTACION "" i':' = — ELECCIÓN PRESIDENCIA Y l!:E|l—""' =NE VICEPRESIDENCIA DE LA REPÚBLICA — [ E PA . MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS 2 MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 006 | LUGAR: lE MARCELIANO E. CANYES | X 4-73-31-19 X ¡ NIVELACIÓN DE LA ",True,77,173,3,2,,4,5,16,,9,,4,,,,,40,6,S
007.pdf,60,001,02,01,007,- — — ENO IIIO DOO N  | 710093832010103 Ver: 01 Pag: 1 de 3  | E E--'—;E ACTA DE ESCRUTINIO DE LOS m  . uE JURADOS DE VOTACIÓN  — E ELECCIÓN PRES::JENCIA Y  : VICEPRESIDENCIA DE LA REPUBLICA —  | E MAYO 31 DE 2026 REGISTRADURÍA  | DEPARTAMENTO: 60 - AMAZONAS  f MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 01 MESA: 007  | LUGAR: IE MARCELIANO E. CANYES  | X 3-55-91-17 X  | NIVELACIÓN DE LA MESA  20,True,92,206,9383,385,,4,15,15,,,9,5,220,1,,,654,8,S
008.pdf,60,001,02,01,008,"_ AC U DO NOE VOOO N '¡ 710093842010103 Ver: 01 Pag: 1 de 3 E Z '¡E| ACTA DE ESCRUTINIO DE LOS m | — IB .. ' JURADOS DE VOTACIÓN B- Te| _ DELEGADOS | T E ELECCIÓN PRESIDENCIA Y | ""'i l » ll VICEPRESIDENCIA DE LA REPÚBLICA — | E a _ — MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 69 - AMAZONAS | MUNICIPIO: 001 - LETICIA - ZONA: 02 PUESTO: 01 MESA: 008 | LUGAR: lE MARCELIANO E. CANYES | X 4-75-05-10 X",True,85,208,9,2,3,4,1,5,,,6,0,0,,,9,30,9,S
009.pdf,60,001,02,01,009,"_ CU AEAOOO - | E — E| ACTA DE ESCRUTINIO DE LOS m — — ¿ JURADOS DE VOTACIÓN : '=ÍI'II""',|_. |.-. q ELECCIÓN PRESIDENCIA Y * E, N =e VICEPRESIDENCIA DE LA REPÚBLICA — | E - S MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS - MUNICIPIO: 001 - LETICIA ; ZONA: 02 PUESTO: 01 MESA: 009 LUGAR: IE MARCELIANO E. CANYES | X 6-05-99-10 X | NIVELACIÓN DE LA MESA º 1 87 e 187 | CANDIDATO AGRUPACIÓ",True,80,,8,2,,5,,,,,,10,,,1,4,22,5,S
010.pdf,60,001,02,01,010,"_ EAO O TE -  | E"" * E| ACTA DE ESCRUTINIO DE LOS  : p JURADOS DE VOTACIÓN  | ""E-r I._l+ ' ELECCION PREShJENCIA Y  : A ePE VICEPRESIDENCIA DE LA REPÚBLICA —  | E aE MAYO 31 DE 2026 REGISTRADURÍA  DEPARTAMENTO: 60 - AMAZONAS  | MUNICIPIO: 001 - LETICIA  ZONA: 02 PUESTO: 01 MESA: 010  | LUGAR: IE MARCELIANO E. CANYES  : X 4-936-09-13 X  l  | NIVELACIÓN DE LA MESA  º A2  º Naz2  | CANDIDATO AGRUPACIÓ",True,66,,1,2,,,,6,,,,0,,112,,1,121,5,S
011.pdf,60,001,02,01,011,"— — OOOOOO ANRO — 710093872010103 Ver: 01 Pag: 1 de 3 | E| =|J"": - E| ACTA DE ESCRUTINIO DE LOS m _ :.- '33 ú ELECCION PRESIDENCIA Y | . alr [:9 - VICEPRESIDENCIA DE LA REPÚBLICA _._ | E-—. — MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 011 | LUGAR: lE MARCELIANO E. CANYES f X 7-90-57-14 X NIVELACIÓN DE LA MESA i 166 r 166 CANDIDATO",True,78,166,4,174,,2,,6,,,,5,,112,,3,302,6,S
012.pdf,60,001,02,01,012,"M 11111111111 | 710093882010103 Ver: 01 Pag: 1 de 3 f E ' :E ACTA DE ESCRUTINIO DE LOS m — JURADOS DE VOTACIÓN ; ;_áh,_.¡¿.£ DELEGADOS | a :¡=!'=:1 ELECCIÓN PRESIDENCIA Y | o | VICEPRESIDENCIA DE LA REPÚBLICA — E - Y - MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 012 - | LUGAR: IE MARCELIANO E. CANYES | X 6-50-78-14 X | NIVELACIÓN",True,81,,9,12,,1,,5,,,,40,,,,,58,4,S
013.pdf,60,001,02,01,013,"|  — — — INAUN TNAN | 710093892010103 Ver: 01 Pag: 1 de 3 ; E y ""'%E| ACTA DE ESCRUTINIO DE LOS m  — M b- — JURADOSDEVOTACIÓN  l - E a "" =_ a ,  ¡ s = E ELECCIÓN PRESIDENCIA Y  | d E- e VICEPRESIDENCIA DE LA REPÚBLICA [  | E 11 T MAYO 31 DE 2026 REGISTRADURÍA  | DEPARTAMENTO: 60 - AMAZONAS  | MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 01 MESA: 013  i LUGAR: IE MARCELIANO E. CANYES  f X 3-09-29-1",True,83,197,12,7005,3,3,,1,,,9,,8,,,12,7041,7,S
014.pdf,60,001,02,01,014,"— AAOO OOONOOO - | 710093902010103 Ver: 01 Pag: 1 de 3 E e E ACTA DE ESCRUTINIO DE LOS m | _¡.:L.' e T JURADOS DE VOTACIÓN | "" b ELECCIÓN PRESIDENCIA Y ! . a[=E9 VICEPRESIDENCIA DE LA REPÚBLICA p | E =7 ml de MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 014 | LUGAR: IE MARCELIANO E. CANYES | X 5-97-45.10 X | NIVELACIÓN DE LA MES",True,93,226,2,,,,5,,,,,,19,12,93,,129,4,S
015.pdf,60,001,02,01,015,"- EEOOO IIIO NO R 710093912010103 Ver: 01 Pag: 1 de 3 | E$E-J-;E ACTA DE ESCRUTINIO DE LOS m | — E ara JURADOS DE YOTACION * "" '¿...'E = "" ELECCIÓN PRESIDENCIA Y l A | r IE =l E VICEPRESIDENCIA DE LA REPÚBLICA — | E — MAYO 31 DE 2026 REGISTRADURÍA . | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 015 LUGAR: IE MARCELIANO E. CANYES | X 2-99-81-15 X | NIVELACIÓN ",True,71,,4,2,3,2,,6,,,,,,,113,,126,5,S
016.pdf,60,001,02,01,016,"— OOO IO OOOO a 710093922010103 Ver: 01 Pag: 1 de 3 | E - E ACTA DE ESCRUTINIO DE LOS m — ERE JURADOS DE VOTACIÓN | - "" LI = a . MC7 DELEGADOS * Taa N _¿EE'I ELECCIÓN PRESIDENCIA Y '_' ""_"" = VICEPRESIDENCIA DE LA REPUBLICA — | E;. """" u MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 016 | LUGAR: IE MARCELIANO E. CANYES f X 8-29-79-",True,78,129,1,12,,,,,,,,,,,,1,13,2,S
017.pdf,60,001,02,01,017,- — ONINIBOIOTONONADA TNE — 710093932010103 Ver: 01 Pag: 1 de 3 | E T I'i. E ACTA DE ESCRUTINIO DE LOS m . t-:'-. a JURADOS DE VOTACIÓN | n » ELECCIÓN PRESIDENCIA Y | .r|'¡:|.l- El VICEPRESIDENCIA DE LA REPÚBLICA — ¡ E ! N MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 0041 - LETICIA | ZONA: 02 PUESTO: 01 MESA: 017 — | LUGAR: IE MARCELIANO E. CANYES | X 2-21-98-17 X | NIV,True,73,,4,2,,,,6,,,,5,,,,4,17,4,N
001.pdf,60,001,02,02,001,"_ I ENOO O AO VNEENO "" | 710093942010103 Ver: 01 Pag: 1 de 3 | E . E ACTA DE ESCRUTINIO DE LOS m | ¡t= -li| , + JURADOS DE VOTACIÓN I'1""I-EII_ E ELECCIÓN PRESIDENCIA Y SNE | _ |F N- by: VICEPRESIDENCIA DE LA REPÚBLICA , $ E _. MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 001 - LUGAR: lE NORMAL SUPERIOR M.E.C. f X 7-95-21-10 X l ",True,76,22,2,0,3,,,,,,,40,2,,13,2,60,6,S
002.pdf,60,001,02,02,002,"_ O EO TE ON UOOO - | E - 'i'E'E ACTA DE ESCRUTINIO DE LOS m s .'!|h Mue — JURADOSDE VOTACIÓN * . ¡.|'_.I¡ . ELECCIÓN PRESIDENCIA Y ! "" m ':|Ll:l VICEPRESIDENCIA DE LA REPÚBLICA — | E FIETA MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 002 ' LUGAR: IE NORMAL SUPERIOR M.E.C. | KX 4-27-55-13 X | NIVELACIÓN DE LA MESA ¡ 220 º 220 | ",True,79,220,9395,1221,,4,,20,,9,,,11,,13,5,1283,7,S
003.pdf,60,001,02,02,003,"_. AEAO N ON N 710093962010103 Ver: 01 Pag: 1 de 3 | E T =-_=H""E ACTA DE ESCRUTINIO DE LOS m — — JURADOS DE VOTACIÓN | A m — DELEGADOS | — r_¡5"".¡i|¡...¡ - ELECCIÓN PRESIDENCIA Y | L H. T- E VICEPRESIDENCIA DE LA REPÚBLICA — | E - rl MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 003 - LUGAR: IÉ NORMAL SUPERIOR M.E.C. | X 4-03-68-",True,86,,22,,5,1,,,,,9,1,14,112,,22,164,7,S
004.pdf,60,001,02,02,004,"— TA OOOOO - 710093972010103 Ver: 01 Pag: 1 de 3 | E r E ACTA DE ESCRUTINIO DE LOS m ] 3* =3 — JURADOS DE VOTACIÓN | - "" "" "" — DnB DFLEGADOS _—_— IH."" : ELECCIÓN PRESIDENCIA Y | “ YICEPRESIDENCIA DE LA REPUBLICA — | E - =a | E ! , . MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS ! MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 004 | LUGAR: ¡E NORMAL SUPERIOR M.E.C. | KX 3-01-13",True,92,164,6,2,,7,5,6,,,,9,,,,0,29,6,S
005.pdf,60,001,02,02,005,"— CO DO - | 710093982010103 Ver: 01 Pag: 1 de 3 | E . , ¡._-: E ACTA DE ESCRUTINIO DE LOS m — aaa — JURADOSDE VOTACIÓN i I "" "" "" N- STeM _ DELEGADOS * EE ELECCIÓN PRESIDENCIA Y * * 1t;.|l:l VICEPRESIDENCIA DE LA REPÚBLICA _. E ea . MAYO 31 DE 2026 REGISTRADURÍA * DEPARTAMENTO: 60 - AMAZONAS : MUNICIPIO: 001 - LETICIA ; ZONA: 02 PUESTO: 02 MESA: 005 i LUGAR: IE NORMAL SUPERIOR M.E.C. ' X 24-79-46-1",True,93,,2,2,,,,,,,19,5,,,,,26,3,S
006.pdf,60,001,02,02,006,"— — IDOOO TRANE — | 710093992010103 Ver: 01 Pag: 1 de 3 [m] ACTA DE ESCRUTINIO DE LOS m — eee - JURADOSDEVOTACIÓN AE * __ DELEGADOS | r N ELECCIÓN PRESIDENCIA Y | el eEL VICEPRESIDENCIA DE LA REPÚBLICA =_ | E -- MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 006 1. | LUGAR: IE NORMAL SUPERIOR M.E.C, | X 4-71-06-14 X NIVELACIÓN DE ",True,91,116,4,2,3,2,,,,,9,5,,,,,21,5,S
007.pdf,60,001,02,02,007,"| 710094002010103 Ver: 01 Pag: 1 de 3 E [m] ACTA DE ESCRUTINIO DE LOS m — e e, ' JURADOS DE VOTACIÓN GA DELEGADOS | Ta 2 EN r l ELECCIÓN PRESIDENCIA Y | ¡_l¡ Mal:[ VICEPRESIDENCIA DE LA REPÚBLICA — | E “ac — MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 004 - LETICIA ¡ ZONA: 02 PUESTO: 02 MESA: 007 — | LUGAR: IE NORMAL SUPERIOR M.E.C. | X 8-29-38-19 X | NIVELACIÓN DE LA",True,95,26,6,7,3,24,5,5,,9,,3,8,112,,0,176,10,S
008.pdf,60,001,02,02,008,"— - "" | | ' 710094012010103 Ver: 01 Pag: 1 de 3 | E * "".E ACTA DE ESCRUTINIO DE LOS m f — A 1¡._ _ JURADOS DE VOTACIÓN | ra __ DELEGADOS | = *.:.. _! ELECCIÓN PRESIDENCIA Y - AaE VICEPRESIDENCIA DE LA REPÚBLICA ae * E = MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 02 MESA: 008 | LUGAR: IE NORMAL SUPERIOR M.E.C. | X 7-32-12-13 X | NIVELACIÓN ",True,88,163,3,2,,,5,,,,19,,,,13,6,45,5,S
009.pdf,60,001,02,02,009,"— TA AEEO INO -  | 710094022010103 Ver: 01 Pag: 1 de 3  | E HR E ACTA DE ESCRUTINIO DE LOS m  — AA JURADOS DE VOTACIÓN  ¡ --— Ma ""  | PE ELECCIÓN PRESIDENCIA Y  : u. - PN VICEPRESIDENCIA DE LA REPÚBLICA —  E a MAYO 31 DE 2026 REGISTRADURÍA  | DEPARTAMENTO: 60 - AMAZONAS  MUNICIPIO: 901 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 009  LUGAR: IE NORMAL SUPERIOR M.E.C.  X 6-9298-760-10 X  NIVELACIÓN DE LA",True,86,241,2419,2,2,0,9,9,,,,10,41,,,2419,2492,8,S
010.pdf,60,001,02,02,010,_ OOO P O - | 710094032010103 Ver: 01 Pag: 1 de 3 | E o E ACTA DE ESCRUTINIO DE LOS m — r JURADOS DE VOTACIÓN | _'1| : í€3 F ELECCIÓN PRESIDENCIA Y | F; e. VICEPRESIDENCIA DE LA REPÚBLICA — M | E ! MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 010 | LUGAR: IE NORMAL SUPERIOR M.E.C. f X 3-20-47-18 X | NIVELACIÓN DE LA MESA | CANDIDA,True,87,,2,5075,,4,,,,,9,,,12,13,2,5115,6,S
