archivo,dept,mun,zona,stand,mesa,texto_p1,ocr_ok,numeros_detectados,potencial_mesa,total_sufragantes,votos_cepeda,votos_claudia,votos_botero,votos_espriella,votos_lizcano,votos_uribe_l,votos_sondra,votos_barreras,votos_caicedo,votos_matamoros,votos_paloma,votos_fajardo,votos_murillo,suma_candidatos_detectados,candidatos_detectados,hubo_recuento
011.pdf,60,001,02,02,011,"— — — IOO T N DDO - | 710094042010103 Ver: 01 Pag: 1 de 3 ? E |'“"" E ACTA DE ESCRUTINIO DE LOS m o N 'l.l-,!.=¡.. - JURADOS DE VOTACIÓN e 2 DELEGADOS . '1:|r""_'l.-¡_r- "" ELECCIÓN PRESÍDENCIA Y — : J 1¡I1 VICEPRESIDENCIA DE LA REPUBLICA , ' E ST MAYO 31 DE 2026 REGISTRADURÍA —| DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 011 | LUGAR: IE NORMAL SUPERIOR M.E.C. ",True,86,,23,4550,5,7,,,,,,,,12,113,23,4710,6,S
012.pdf,60,001,02,02,012,"— — ONO NNE ANADAMID — | 710094052010103 Ver: 01 Pag: 1 de 3 E "".J — E ACTA DE ESCRUTINIO DE LOS m — o JURADOS DE VOTACIÓN — E '-=: T ELECCIÓN PRESIDENCIA Y | EA -hy VICEPRESIDENCIA DE LA REPÚBLICA — | E.¡. .P MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 0041 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 012 f — | LUGAR: IE NORMAL SUPERIOR M.E.C. | X 3-37-46-11 X NIVELACIÓN DE ",True,85,44,1,2,1,,5,,,,,3,,,,4,15,5,S
013.pdf,60,001,02,02,013,"|  — TEOO OOOE OO - - 710094062010103 Ver: 01 Pag: 1 de 3 | E|!¡¡"" r E| ACTA DE ESCRUTINIO DE LOS m 1 r JURADOS DE VOTACIÓN  | F|:"".l. _ -  ; - "" . ELECCIÓN PRESIDENCIA Y 2-  * I J&' El VICEPRESIDENCIA DE LA REPÚBLICA —  | E a - MAYO 31 DE 2026 REGISTRADURIÍA  i DEPARTAMENTO: 60 - AMAZONAS  ¡ MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 013 | : LUGAR: lE NORMAL SUPERIOR M.E.C.  | X B5-31-",True,83,,5406,2,,39,,5,,,,,4,112,113,,275,6,S
014.pdf,60,001,02,02,014,"_ TOOOOOO ANE NOODOE N  710094072010103 — Ver: 01 Pag: 1 de 3  * E |_-[-'ú-5 :_'|E ACTA DE ESCRUTINIO DE LOS m  — yd y AP JURADOS DE VOTACIÓN  | - ad ELECCIÓN PRESIDENCIA Y  | e De -E - VICEPRESIDENCIA DE LA REPÚBLICA —l  - E ul - ""ALTS MAYO 31 DE 2026 REGISTRADURÍA  DEPARTAMENTO: 60 - AMAZONAS  MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 014  LUGAR: IE NORMAL SUPERIOR M.E.C.  | X 4-16-3",True,86,1752,3,2,,,1,6,,,,0,11,,113,0,133,7,S
015.pdf,60,001,02,02,015,"— CC AVO DT AO - | E -l '-:E|E ACTA DE ESCRUTINIO DE LOS m . '=1""'%—1' m — JURADOS DE VOTACIÓN =55c _ DELEGADOS | EP ELECCIÓN PRESIDENCIA Y | a $n_ll VICEPRESIDENCIA DE LA REPÚBLICA | E ' MAYO 31 DE 2026 REGISTRADURÍA  DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 015 ' LUGAR: IE NORMAL SUPERIOR M.E.C. | X 6-76-26-15 X NIVELACIÓN DE LA MESA 159 139 | CANDIDATO ",True,83,159,3,8,,14,1,5,,,,1,,4,,3,36,7,S
016.pdf,60,001,02,02,016,"_ CEA TOO IOOOO - | 710094092010103 Ver: 01 Pag: 1 de 3 E| .|_-.:. L E| ACTA DE ESCRUTINIO DE LOS m ""i'l:- re JURADOS DE VOTACIÓN  — EN m DELEGADOS  ! , I:':I.:_ = C ELECCIÓN PRESIDENCIA Y  | = T! VICEPRESIDENCIA DE LA REPÚBLICA — E 5 L r MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS  | MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 016  | LUGAR: IE NORMAL SUPERIOR M.E.C.  |",True,89,140,4,2,,,,,,,,10,,12,13,,37,4,S
017.pdf,60,001,02,02,017,— | E 710094102010103 Ver: 01 Pag: 1 de 3 [m]E. E| ACTA DE ESCRUTINIO DE LOS m _.¡¡ R JURADOS DE VOTACIÓN : .L. l] _I | =T e Ta ELECCIÓN PRESIDENCIA Y | ¡_.:¡F - Ie  VICEPRESIDENCIA DE LA REPÚBLICA —  [m] r E MAYO 31 DE 2026 REGISTRADURÍA < | DEPARTAMENTO: 60 - AMAZONAS .. | MUNICIPIO: 001 - LETICIA — | ZONA: 02 PUESTO: 02 MESA: 017  LUGAR: IE NORMAL SUPERIOR M.E.C. | X 3-63-12-18 X NIVELACIÓN DE ,True,79,32,1,1,5,,,,,,,10,,,,1,17,4,S
018.pdf,60,001,02,02,018,"— [ "" [ - 710094112010103 Ver: 01 Pag: 1 de 3 — (m]hA-mrafm) - ACTADEESCRUTINIODE LOS m — r JURADOS DE VOTACIÓN  A DELEGADOS ELECCIÓN PRESIDENCIA Y í VICEPRESIDENCIA DE LA REPUBLICA —l | E rP MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | | MUNICIPIO: 004 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 018 | LUGAR: E NORMAL SUPERIOR M.E.C. | X 3-97-78-17 X | NIVELACIÓN DE LA MESA : 1a 149 | C",True,74,,1,2,22,,,6,,,,1,,112,,1,144,6,S
019.pdf,60,001,02,02,019,"— — OIENANIT AMO AMUMBANTO — - 710094122010103 Ver: 01 Pag: 1 de 3 - E í "" E ACTA DE ESCRUTINIO DE LOS m — — | JURADOS DE VOTACIÓN  | 1  — ea DELEGADOS  — £""'.¡. . ELECCIÓN PRESIDENCIA Y  ' J a M VICEPRESIDENCIA DE LA REPÚBLICA E | E E CP Dr MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS  | MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 019  LUGAR: IE NORMAL SUPERIOR M.E.C.  | X ",True,91,12,9412,5,,,,,,,9,,1,12,13,,40,5,S
020.pdf,60,001,02,02,020,"— — ONO DMAANEA — | 710094132010103 Ver: 01 Pag: 1 de 3 E A E ACTA DE ESCRUTINIO DE LOS m — = 2 KP JURADOS DE VOTACIÓN Ae ""*i5' TI | - , ELECCIÓN PRESIDENCIA Y e VICEPRESIDENCIA DE LA REPUBLICA a , E ; $ MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 0920 | LUGAR: IE NORMAL SUPERIOR M.E.C. 7 X 5-03-33-14 X NIVELACIÓN DE LA MESA CAND",True,90,,1,2,,,4,5,,,2,19,,2,,1,35,7,S
021.pdf,60,001,02,02,021,"- UOOO - | 710094142010103 Ver: 0* Pag: 1 de 3 E'*—' d E| ACTA DE ESCRUTINIO DE LOS m  — XD ""£ - — JURADOSDEVOTACIÓN  ' l ""'"" » ELECCIÓN PRESIDENCIA Y  | - VICEPRESIDENCIA DE LA REPUBLICA Ea  | E a 7 n H MAYO 31 DE 2026 REGISTRADURIA | DEPARTAMENTO: 60 - AMAZONAS  | MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 02 MESA: 021  | LUGAR: IE NORMAL SUPERIOR M.E.C.  - X 4-37-38-17 X  | NIVELACIÓN DE LA M",True,93,,7,2,,4,,,,,9,1,,,,35,51,5,S
022.pdf,60,001,02,02,022,— CN OLOENIOT DTTO AEOOO - 710094152010103 Ver: 01 Pag: 1 de 3 I E E ACTA DE ESCRUTINIO DE LOS m | T JURADOS DE VOTACIÓN | _ ELECCIÓN PRESIDENCIA Y * 5 VICEPRESIDENCIA DE LA REPÚBLICA — | E . MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 022 | LUGAR: IE NORMAL SUPERIOR M.E.C. ' X 5-98-02-10 X | NIVELACIÓN DE LA MESA ¡ P G | CAN,True,86,,9415,7,,4,,6,,,,1,,112,113,,243,6,S
023.pdf,60,001,02,02,023,"— — — AMBETANENAOTNATIANO — 710094162010103 Ver: 01 Pag: 1 de 3 : E m E ACTA DE ESCRUTINIO DE LOS m | r E JURADOS DE VOTACIÓN | EE , .:,. DELEGAROS | - E y ELECCIÓN PRESIDENCIA Y | al - VICEPRESIDENCIA DE LA REPÚBLICA = | E a 4 r MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS f MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 023 | LUGAR: IE NORMAL SUPERIOR M.E.C. | X 2-07-85-18",True,93,,1,7,3,7,,,,,9,10,,,13,5,54,7,S
024.pdf,60,001,02,02,024,— OO ENAU AUDO - 710094172010103 Ver: 01 Pag: 1 de 3 E| EP '-.E ACTA DE ESCRUTINIO DE LOS m — re JURADOS DE VOTACIÓN | = k ¡I$_-F:I-.lll ELECCIÓN PRESIDENCIA Y | p bb VICEPRESIDENCIA DE LA REPÚBLICA — | E P MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 024 LUGAR: IE NORMAL SUPERIOR M.E.C. | X 5-32-36-18 X | NIVELACIÓN DE LA MESA ,True,83,,4,575,,,,,,,9,,,,,4,588,3,S
025.pdf,60,001,02,02,025,"— OO ITMUOIE - 710094182010103 Ver: 01 Pag: 1 de 3 | E' o E ACTA DE ESCRUTINIO DE LOS m | 2P J'¿.'-i' - JURADOS DE VOTACIÓN M C218 _ DELEGADOS — A ELECCIÓN PRESIDENCIA Y : n E VICEPRESIDENCIA DE LA REPUBLICA — , - E [ MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA f | ZONA: 02 PUESTO: 02 MESA: 025 | LUGAR: IE NORMAL SUPERIOR M.E.C. X 7-22-23-18 X f NIVELACIÓN DE",True,85,154,1,2,,,,,,,,2,,12,,23,39,4,S
026.pdf,60,001,02,02,026,R T VA - 710094192010103 Ver: 01 Pag: 1 de 3 E!I' . E ACTA DE ESCRUTINIO DE LOS m 7 '-$¡1-I—— — JURADOS DE VOTACIÓN '=£.I_r'£f£::d' ELECCIÓN PRESIDENCIA Y l]e EC' VICEPRESIDENCIA DE LA REPÚBLICA [ E FA MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 69 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 02 MESA: 026 LUGAR: IE NORMAL SUPERIOR M.E.C. X 3-51-923-13 X NIVELACIÓN DE LA MESA . 33 53 | CAND,True,83,33,8,2,,4,5,5,,,,10,,12,,8,46,7,S
027.pdf,60,001,02,02,027,"- TDOOO EE TNAN Y — 710094202010103 Ver: 01 Pag: 1 de 3 E hac E ACTA DE ESCRUTINIO DE LOS m |- ¿-!_'... = JURADOS DE VOTACIÓN Pc — DELEGADOS .I-ñ -j¡r. — * d ELECCIÓN PRESIDENCIA Y — E a E = VICEPRESIDENCIA DE EA REPUBLICA — Ta| , | E — MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 02 MESA: 027 LUGAR: lE NORMAL SUPERIOR M.E.C. X 7-06-43-10 X NI",True,83,28,2,2,3,,,6,,,,,,,13,2,26,5,S
028.pdf,60,001,02,02,028,- TEO POOO - | EF.' E| ACTA DE ESCRUTINIO DE LOS m . JURADOS DE VOTACION | ELECCIÓN PRESIDENCIA Y * VICEPRESIDENCIA DE LA REPÚBLICA E E L q ENF MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO; 001 - LETICIA ZONA: 02 PUESTO: 02 MESA: 028 LUGAR: IE NORMAL SUPERIOR M.E.C. | X 4-16-99-10 X | NIVELACIÓN DE LA MESA 11a LLA j CANDIDATO AGRUPACIÓN VOTACIÓN p - M 3 HIST RICO 1 ¡ e + -,True,73,11,4,2,,,,6,,,9,3,,,13,,33,5,S
029.pdf,60,001,02,02,029,"_ A INE NE ENEO TUNEN - | E'."" A E ACTA DE ESCRUTINIO DE LOS m — ae — JURADOSDEVOTACIÓN . | i|5:1'.i':""l ELECCIÓN PRESIDENCIA Y , .¡|'!I¡""¡ =. VICEPRESIDENCIA DE LA REPÚBLICA — E - - MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 02 MESA: 029 | LUGAR: IE NORMAL SUPERIOR M.E.C. | X 3-25-79-14 X | NIVELACIÓN DE LA MESA .15 ' 15 -.F | CANDIDA",True,83,15,1,2,3,4,,6,,,,3,,,13,1,32,7,S
001.pdf,60,001,02,03,001,"— — ANOOO NTDENTOTO — | 710094232010103 Ver: 01 Pag: 1 de 3 | E-:' :E ACTA DE ESCRUTINIO DE LOS m — peedobe: — JURADOSDEVOTACIÓN | a 'LE — . A en ELECCIÓN PRESIDENCIA Y -_'-i!|l:l E VICEPRESIDENCIA DE LA REPÚBLICA ""- E 1el gl MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS i MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 001 .. | LUGAR: IE SAGRADO CORAZON DE JESUS ? X 2-49-68-11 X ",True,88,222,2,2,,4,,,,,,5,,,13,,24,4,S
002.pdf,60,001,02,03,002,_ O EEOOO - | 710094242010103 Ver: 01 Pag: 1 de 3 E| - E| ACTA DE ESCRUTINIO DE LOS m ¡ a — JURADOSDEVOTACIÓN f £F “E DELEGADOS º ELECCIÓN PRESIDENCIA Y ' VICEPRESIDENCIA DE LA REPÚBLICA === E D MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 002 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 8-88-560-17 X NIVELACIÓN DE LA MESA í 242 ?,True,89,242,9424,1,,4,5,5,,,9,9,,112,13,,158,8,S
003.pdf,60,001,02,03,003,"_ AE DO MEO - 710094252010103 Ver: 01 Pag: 1 de 3 | E| - -'.;E ACTA DE ESCRUTINIO DE LOS m  | ' .:¡' rr r JURADOS DE VOTACION  | |_ = . ELECCION PRESIDENCIA Y  | ..-::l » VICEPRESIDENCIA DE LA REPÚBLICA ""  ; E a MAYO 31 DE 2026 REGISTRADURÍA | | DEPARTAMENTO: 60 - AMAZONAS  : MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 03 MESA: 003  | LUGAR: IE SAGRADO CORAZON DE JESUS  - X 7-76-61-12 X  | NIVELA",True,84,201,2,12,3,,,,,,,10,,,13,3,41,5,S
004.pdf,60,001,02,03,004,M 111) DTTO - 710094262010103 Ver: 01 Pag: 1 de 3 | E ss ¡ E ACTA DE ESCRUTINIO DE LOS m E T NE A: 20 JURADOS DE VOTACIÓN | Ad PEj e e ELECCIÓN PRESIDENCIA Y | -E VICEPRESIDENCIA DE LA REPÚBLICA r E .U _ hT MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA ' ZONA: 02 PUESTO: 03 MESA: 004 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 4-20-34-19 X | NIVELACIÓN DE LA M,True,85,,4,2,3,,,,,0,,9,11,12,13,,50,7,S
005.pdf,60,001,02,03,005,_ TDT - | 710094272010103 Ver: 01 Pag: * de 3 ' E - E ACTA DE ESCRUTINIO DE LOS m — —| JURADOS DE VOTACIÓN  | P ELECCIÓN PRESIDENCIA Y  * VICEPRESIDENCIA DE LA REPÚBLICA i  | E a MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS  ; MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 03 MESA: 005  | LUGAR: IE SAGRADO CORAZON DE JESUS  X 2-98-03-10 X  NIVELACIÓN DE LA MESA  º 2 08  | CANDIDATO AGRU,True,87,,2,7,,,,6,,,,,,12,113,4,142,5,S
006.pdf,60,001,02,03,006,| — — — AQONANMN DTT — 710094282010103 Ver: 01 Pag: 1 de 3 | E El E| ACTA DE ESCRUTINIO DE LOS m — en s - JURADOSDEVOTACIÓN ¡ l ; a | E _fu' de ELECCIÓN PRESIDENCIA Y | . a= VICEPRESIDENCIA DE LA REPÚBLICA m | E P . MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 006 | LUGAR: IE SAGRADO CORAZON DE JESUS X 5-41-60-10 X | NIVELACIÓN ,True,78,18,9,2,5,7,,,,,,,,12,,,26,4,S
007.pdf,60,001,02,03,007,"| _ AO OUIOODMUADOENDUANED — | 710094292010103 Ver: 01 Pag: 1 de 3 £ EI-.- - =E ACTA DE ESCRUTINIO DE LOS m T :|-.."".A =. JURADOS DE VOTACIÓN B- DELEGADOS | r 1 ELECCIÓN PRESIDENCIA Y $ NE a AL-1 % VICEPRESIDENCIA DE LA REPÚBLICA p | E M e MAYO 31 DE 2026 REGIS;¿H&¡%K& —| DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 907 — | LUGAR: IE SAGRADO CORAZON DE JESUS | X",True,84,1338,4,2,,,,6,,,2,110,,12,,4,136,6,S
008.pdf,60,001,02,03,008,"— TNANOOO NAN DO - 710094302010103 Ver: 01 Pag: 1 de 3 E|5—'l"" E ACTA DE ESCRUTINIO DE LOS m . - ] JURADOS DE VOTACIÓN ¡ ELECCIÓN PRESIDENCIA Y | VICEPRESIDENCIA DE LA REPÚBLICA — | E - MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS ¿ MUNICIPIO: 001 - LETICIA | ZONA;: 02 PUESTO: 03 MESA: 008 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 24-18-98-16 X NIVELACIÓN DE LA MESA EE e 40 ? CANDIDA",True,82,40,9430,12,5,,,,,,,3,,,,,20,3,S
009.pdf,60,001,02,03,009,"_ EV DOOOO AO DY - | 710094312010103 Ver: 01 Pag: 1 de 3 E ']' J E| ACTA DE ESCRUTINIO DE LOS m ¡ A JURADOS DE VOTACIÓN TE DELEGADOS  | + _á - ELECCIÓN PRESIDENCIA Y  ! N = E _-' VICEPRESIDENCIA DE LA REPUBLICA º' ,  | E 3 hr — i MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS  5 MUNICIPIO: 001 - LETICIA  | ZONA: 02 PUESTO: 03 MESA: 009  ¡ LUGAR: IE SAGRADO CORAZON DE JESUS  | X 3-75",True,88,,9431,2,,,4,6,,5,19,,,112,,,148,6,S
010.pdf,60,001,02,03,010,"Ms| 0|1) 1117015 | 710094322010103 Ver: 01 Pag: 1 de 3 | EF_3'.£I""'¡E ACTA DE ESCRUTINIO DE LOS m ; . | A JURADOS DE VOTACIÓN N ELECCIÓN PRESIDENCIA Y | £¡€—:£n E7 VICEPRESIDENCIA DE LA REPÚBLICA — | E Dl EE MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 010 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 8-55-84-14 X | NIVELACIÓN DE LA ME",True,84,183,432,2,,,2,6,,,,0,,12,,,22,5,S
011.pdf,60,001,02,03,011,"— — OCE TUNO TOS R | 710094332010103 Ver: 01 Pag: 1 de 3 | E¡! = E ACTA DE ESCRUTINIO DE LOS m | ; '-I'_¡1""' N JURADOS DE VOTACIÓN | -l:|f$— r ELECCIÓN PRESIDENCIA Y | J » El q VICEPRESIDENCIA DE LA REPUBLICA , y E]| . .|-I:_. X MAYO 3M DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 011 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 3-98-98-19 X ",True,88,,1,2,,4,,,,,,3,,112,,,121,4,S
012.pdf,60,001,02,03,012,"— — ARANO TANTANAMNDADO — j 710094342010103 Ver: 01 Pag: 1 de 3 [ “ ' E , E ACTA DE ESCRUTINIO DE LOS m — d JURADOS DE VOTACIÓN — MR DELEGADOS | , T|E.|.. ELECCIÓN PRESIDENCIA Y e d í m Ea VICEPRESIDENCIA DE LA REPUBLICA p | E «[ L MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS l MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 03 MESA: 012 | LUGAR: IE SAGRADO CORAZÓON DE JESUS | | X 7-53-53-1",True,77,143,4,2,5,9,,,,,6,9,,,,4,35,6,S
013.pdf,60,001,02,03,013,"— A O DNOOO - 710094352010103 Ver: 01 Pag: 1 de 3 E "" .- E ACTA DE ESCRUTINIO DE LOS m f ""T ...-|:'_¿ JURADOS DE YOTACIÓN E -lf'.'u "". ELECCIÓN PRESIDENCIA Y | ( VICEPRESIDENCIA DE LA REPÚBLICA | E ""'-'if""""h: "" MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 0801 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 013 LUGAR: IE SAGRADO CORAZON DE JESUS | X 7-59-63-16 X ; NIVELACIÓN DE LA ",True,86,195,635,7,,1,4,,,,,40,,1,,3,56,6,S
014.pdf,60,001,02,03,014,"- — — ONO IOOITNTADNE — | 710094362010103 Ver: 01 Pag: 1 de 3 — [m]YAT [m] ACTA DE ESCRUTINIO DE LOS m — — JURADOS DE VOTACIÓN | . ME ELECCIÓN PRESIDENCIA Y Z …= "" E- VICEPRESIDENCIA DE LA REPÚBLICA r l E N MAYO 31 DE 2026 REGISTRADURÍA — | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 014 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 7-10-32-12 X | NIVELACIÓN DE LA",True,79,734,7,2,,75,5,5,,,,10,,,,7,104,6,S
015.pdf,60,001,02,03,015,"— — OMIEIONTANTN DNA — 710094372010103 Ver: 01 Pag: 1 de 3 | E E [a] ACTA DE ESCRUTINIO DE LOS m | -|;I ""|i!l-* JURADOS DE VOTACIÓN """" r * T. DELEGADOS . — i ELECCIÓN PRESIDENCIA Y as Xe E VICEPRESIDENCIA DE LA REPÚBLICA — E JA r MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS * MUNICIPIO: 001 - LETICIA ZONA: 02 PUESTO: 03 MESA: 015 LUGAR: IE SAGRADO CORAZON DE JESUS | X 2-47-31-16 X |",True,86,132,1,201,3,,,,,,9,0,,,,1,214,5,S
016.pdf,60,001,02,03,016,— EOOOO - | 710094382010103 Ver: 01 Pag: 1 de 3 E' ' E| ACTA DE ESCRUTINIO DE LOS m ¡ E m — JURADOSDEVOTACIÓN ! E- '|fll'.H ELECCIÓN PRESIDENCIA Y ' Ty EN =97 VICEPRESIDENCIA DE LA REPÚBLICA — | E!. ll : MAYO 31 DE 2026 REGISTRADURÍA | | DEPARTAMENTO: 60 - AMAZONAS f MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 016 - | LUGAR: IE SAGRADO CORAZON DE JESUS ! X 7-30-85-12 X NIVELACIÓN DE LA ME,True,79,138,4,2,,,,6,,,,,,112,,,120,3,S
017.pdf,60,001,02,03,017,"— — OMNOINITANUE ENNO — 710094392010403 — Ver: 01 Pag: 1 de 3 ] E '_¡'h""'l¿'E| ACTA DE ESCRUTINIO DE LOS m — AMO rR — JURADOSDEVOTACIÓN , la . — M DELEGANOS | a r ELECCIÓN PRESIDENCIA Y | [-&. d-H"" VICEPRESIDENCIA DE LA REPÚBLICA e [m]! MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS —| MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 017 . | LUGAR: IE SAGRADO CORAZON DE JESUS X 2-77",True,79,142,1,6,,4,,,,,,3,11,,,99,123,5,S
018.pdf,60,001,02,03,018,"— EOOOO - . 710094402010103 Ver: 01 Pag: 1 de 3 |3 o r E ACTA DE ESCRUTINIO DE LOS m =Pj EE JURADOS DE VOTACIÓN _r?¡l|l : ELECCIÓN PRESIDENCIA Y | aal da"" VICEPRESIDENCIA DE LA REPÚBLICA D ¿ E , :l'.|"" . MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA f ZONA: 02 PUESTO: 03 MESA: 018 | LUGAR: IE SAGRADO CORAZON DE JESUS [ X 3-00-91-18 X NIVELACIÓN DE LA MESA ¡",True,89,153,4,12,5,4,4,6,,,,,1,,13,4,49,8,S
019.pdf,60,001,02,03,019,— OO 1O DO - | 710094412010103 Ver: 01 Pag: 1 de 3 | E 1 j E ACTA DE ESCRUTINIO DE LOS | '+:.%E':E-E:' JURADOS DE VOTACIÓN | — EUN DELEGADOS ; ! 'li;'-. “ ELECCIÓN PRESIDENCIA Y | ; '-|l] = VICEPRESIDENCIA DE LA REPÚBLICA — : E__ = el MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 02 PUESTO: 03 MESA: 019 | LUGAR: IE SAGRADO CORAZON DE JESUS | X 7-56-54-1,True,76,,9,12,0,2,,,,,,,,112,,,126,4,S
